OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,OCEAN,8,7/5/1996,7/18/1996,7/6/1996,2,193.85,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10249,PRINI,5,7/7/1996,7/14/1996,7/20/1996,3,135.03,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10250,HUNGC,4,7/8/1996,7/18/1996,7/20/1996,1,150.71,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10251,HILAA,6,7/9/1996,7/23/1996,7/14/1996,1,21.34,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10252,BLAUS,3,7/9/1996,7/23/1996,7/15/1996,2,31.59,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10253,ROMEY,7,7/9/1996,7/25/1996,7/19/1996,1,109.96,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10254,QUEDE,3,7/9/1996,7/17/1996,7/22/1996,2,185.25,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10255,PERIC,4,7/10/1996,7/23/1996,7/15/1996,2,151,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10256,RICAR,2,7/11/1996,7/26/1996,7/21/1996,3,2.43,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10257,OLDWO,2,7/12/1996,7/24/1996,7/24/1996,2,139.11,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10258,SIMOB,5,7/12/1996,7/22/1996,7/18/1996,3,157.12,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10259,SANTG,3,7/13/1996,7/21/1996,7/15/1996,2,8.17,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10260,VAFFE,3,7/13/1996,8/3/1996,7/21/1996,1,35.47,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10261,VINET,2,7/13/1996,7/26/1996,7/18/1996,3,104.54,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10262,PERIC,6,7/13/1996,7/30/1996,7/15/1996,3,48.83,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10263,RICAR,6,7/15/1996,7/29/1996,7/18/1996,3,103.93,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10264,SPLIR,7,7/16/1996,7/26/1996,7/27/1996,2,21.05,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10265,MAGAA,1,7/17/1996,7/25/1996,7/26/1996,3,29.92,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10266,PICCO,2,7/18/1996,8/2/1996,7/23/1996,3,74.35,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10267,SIMOB,5,7/18/1996,7/30/1996,7/30/1996,1,135.21,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10268,VICTE,7,7/19/1996,7/28/1996,7/31/1996,1,194.02,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10269,CACTU,2,7/19/1996,8/6/1996,7/31/1996,3,110.37,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10270,FOLIG,7,7/21/1996,8/10/1996,7/30/1996,1,22.3,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10271,LACOR,6,7/23/1996,8/13/1996,7/25/1996,1,48.65,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10272,SAVEA,3,7/23/1996,8/2/1996,7/28/1996,3,188.1,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10273,QUEEN,6,7/23/1996,8/11/1996,7/30/1996,2,109.36,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10274,FURIB,1,7/26/1996,8/6/1996,8/2/1996,1,116.08,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
